Thread Count, Parallel Trapezoidal Approximation, Time, Error, Abs Error
5700,0.99999995668,0.22781799799,3.415979e-11,3.415979e-11
5800,0.99999995668,0.22678362700,3.416312e-11,3.416312e-11
5900,0.99999995668,0.23995873600,3.415823e-11,3.415823e-11
6000,0.99999995668,0.23712343900,3.416167e-11,3.416167e-11
6100,0.99999995668,0.25854910500,3.415601e-11,3.415601e-11
6200,0.99999995668,0.25052032400,3.415113e-11,3.415113e-11
6300,0.99999995668,0.25623717500,3.415468e-11,3.415468e-11
6400,0.99999995668,0.25448289800,3.415934e-11,3.415934e-11
6500,0.99999995668,0.25480039799,3.416012e-11,3.416012e-11
6600,0.99999995668,0.26371852099,3.416212e-11,3.416212e-11
6700,0.99999995668,0.28783154800,3.416334e-11,3.416334e-11
6800,0.99999995668,0.28366034100,3.415601e-11,3.415601e-11
6900,0.99999995668,0.26240714799,3.416212e-11,3.416212e-11
7000,0.99999995668,0.31597737499,3.415124e-11,3.415124e-11
7100,0.99999995668,0.27519104400,3.415601e-11,3.415601e-11
7200,0.99999995668,0.27216419199,3.415912e-11,3.415912e-11
7300,0.99999995668,0.28955721800,3.415801e-11,3.415801e-11
7400,0.99999995668,0.27555334801,3.415612e-11,3.415612e-11
7500,0.99999995668,0.29889873700,3.415890e-11,3.415890e-11
7600,0.99999995668,0.28501869700,3.415557e-11,3.415557e-11
7700,0.99999995668,0.28940092200,3.416067e-11,3.416067e-11
7800,0.99999995668,0.28924580800,3.415779e-11,3.415779e-11
7900,0.99999995668,0.29083330301,3.416190e-11,3.416190e-11
8000,0.99999995668,0.32090481000,3.415979e-11,3.415979e-11
8100,0.99999995668,0.29402305999,3.415646e-11,3.415646e-11
8200,0.99999995668,0.30415115900,3.415535e-11,3.415535e-11
8300,0.99999995668,0.33641413400,3.415845e-11,3.415845e-11
8400,0.99999995668,0.30899129600,3.415779e-11,3.415779e-11
8500,0.99999995668,0.34460383300,3.415845e-11,3.415845e-11
8600,0.99999995668,0.31592015200,3.415834e-11,3.415834e-11
8700,0.99999995668,0.35358708800,3.415990e-11,3.415990e-11
8800,0.99999995668,0.35302253100,3.416123e-11,3.416123e-11
8900,0.99999995668,0.36839138501,3.416156e-11,3.416156e-11
9000,0.99999995668,0.34850428700,3.415657e-11,3.415657e-11
9100,0.99999995668,0.35300959501,3.415457e-11,3.415457e-11
9200,0.99999995668,0.33498893000,3.415879e-11,3.415879e-11
9300,0.99999995668,0.36977976499,3.415823e-11,3.415823e-11
9400,0.99999995668,0.36836492701,3.415557e-11,3.415557e-11
9500,0.99999995668,0.36187018399,3.415634e-11,3.415634e-11
9600,0.99999995668,0.35486765001,3.416212e-11,3.416212e-11
9700,0.99999995668,0.38619035500,3.416034e-11,3.416034e-11
9800,0.99999995668,0.35525445300,3.416167e-11,3.416167e-11
9900,0.99999995668,0.35207721000,3.415834e-11,3.415834e-11
10000,0.99999995668,0.38442783200,3.415468e-11,3.415468e-11
10100,0.99999995668,0.36330061500,3.415535e-11,3.415535e-11
10200,0.99999995668,0.38065424301,3.415868e-11,3.415868e-11
10300,0.99999995668,0.39133791800,3.416112e-11,3.416112e-11
10400,0.99999995668,0.38865472800,3.415912e-11,3.415912e-11
10500,0.99999995668,0.40674571900,3.415457e-11,3.415457e-11
10600,0.99999995668,0.39677650800,3.415657e-11,3.415657e-11
10700,0.99999995668,0.42883758701,3.415912e-11,3.415912e-11
10800,0.99999995668,0.41707800300,3.416056e-11,3.416056e-11
10900,0.99999995668,0.38348938900,3.416023e-11,3.416023e-11
11000,0.99999995668,0.40302869400,3.415535e-11,3.415535e-11
11100,0.99999995668,0.40630615801,3.415912e-11,3.415912e-11
11200,0.99999995668,0.41106932799,3.415634e-11,3.415634e-11
11300,0.99999995668,0.42899025101,3.415512e-11,3.415512e-11
11400,0.99999995668,0.42277787099,3.415723e-11,3.415723e-11
11500,0.99999995668,0.40749827001,3.415745e-11,3.415745e-11
11600,0.99999995668,0.41861367000,3.416478e-11,3.416478e-11
