n,Average,Min,Max,Range,Variance
297000,0.000363,0.000361,0.000376,0.000015,0.000000
298000,0.000365,0.000362,0.000373,0.000011,0.000000
299000,0.000366,0.000364,0.000379,0.000015,0.000000
300000,0.000376,0.000365,0.000567,0.000202,0.000000
301000,0.000369,0.000366,0.000380,0.000014,0.000000
302000,0.000413,0.000368,0.001296,0.000928,0.000000
303000,0.000380,0.000368,0.000524,0.000156,0.000000
304000,0.000374,0.000370,0.000399,0.000029,0.000000
305000,0.000375,0.000371,0.000389,0.000018,0.000000
306000,0.000375,0.000372,0.000390,0.000018,0.000000
307000,0.000377,0.000373,0.000389,0.000016,0.000000
308000,0.000378,0.000374,0.000387,0.000013,0.000000
309000,0.000381,0.000376,0.000389,0.000013,0.000000
310000,0.000384,0.000377,0.000465,0.000088,0.000000
311000,0.000381,0.000378,0.000387,0.000009,0.000000
312000,0.000383,0.000379,0.000392,0.000013,0.000000
313000,0.000384,0.000380,0.000393,0.000013,0.000000
314000,0.000384,0.000381,0.000386,0.000005,0.000000
315000,0.000386,0.000382,0.000398,0.000016,0.000000
316000,0.000387,0.000384,0.000398,0.000014,0.000000
317000,0.000387,0.000385,0.000397,0.000012,0.000000
318000,0.000388,0.000386,0.000397,0.000011,0.000000
319000,0.000395,0.000387,0.000489,0.000102,0.000000
320000,0.000392,0.000388,0.000404,0.000016,0.000000
321000,0.000394,0.000391,0.000400,0.000009,0.000000
322000,0.000395,0.000391,0.000406,0.000015,0.000000
323000,0.000438,0.000392,0.001458,0.001066,0.000000
324000,0.000414,0.000396,0.000788,0.000392,0.000000
325000,0.000402,0.000398,0.000407,0.000009,0.000000
326000,0.000403,0.000399,0.000417,0.000018,0.000000
327000,0.000404,0.000400,0.000417,0.000017,0.000000
328000,0.000405,0.000398,0.000466,0.000068,0.000000
329000,0.000403,0.000399,0.000415,0.000016,0.000000
330000,0.000403,0.000400,0.000417,0.000017,0.000000
331000,0.000405,0.000401,0.000414,0.000013,0.000000
332000,0.000405,0.000402,0.000427,0.000025,0.000000
333000,0.000406,0.000404,0.000416,0.000012,0.000000
334000,0.000407,0.000404,0.000421,0.000017,0.000000
335000,0.000409,0.000406,0.000418,0.000012,0.000000
336000,0.000414,0.000407,0.000520,0.000113,0.000000
337000,0.000424,0.000408,0.000692,0.000284,0.000000
338000,0.000414,0.000409,0.000427,0.000018,0.000000
339000,0.000415,0.000410,0.000424,0.000014,0.000000
340000,0.000416,0.000412,0.000428,0.000016,0.000000
341000,0.000417,0.000413,0.000428,0.000015,0.000000
342000,0.000418,0.000413,0.000430,0.000017,0.000000
343000,0.000429,0.000415,0.000677,0.000262,0.000000
344000,0.000420,0.000416,0.000432,0.000016,0.000000
345000,0.000425,0.000418,0.000498,0.000080,0.000000
346000,0.000423,0.000418,0.000439,0.000021,0.000000
347000,0.000424,0.000420,0.000438,0.000018,0.000000
348000,0.000425,0.000421,0.000433,0.000012,0.000000
349000,0.000427,0.000422,0.000438,0.000016,0.000000
350000,0.000428,0.000424,0.000439,0.000015,0.000000
351000,0.000430,0.000425,0.000449,0.000024,0.000000
352000,0.000429,0.000426,0.000433,0.000007,0.000000
353000,0.000435,0.000427,0.000528,0.000101,0.000000
354000,0.000431,0.000428,0.000440,0.000012,0.000000
355000,0.001177,0.000429,0.004997,0.004568,0.000004
356000,0.000438,0.000430,0.000539,0.000109,0.000000
357000,0.000436,0.000432,0.000456,0.000024,0.000000
358000,0.000436,0.000433,0.000443,0.000010,0.000000
359000,0.000443,0.000434,0.000533,0.000099,0.000000
360000,0.000438,0.000435,0.000448,0.000013,0.000000
361000,0.000439,0.000436,0.000450,0.000014,0.000000
362000,0.000447,0.000437,0.000623,0.000186,0.000000
363000,0.000441,0.000438,0.000452,0.000014,0.000000
364000,0.000443,0.000440,0.000450,0.000010,0.000000
365000,0.000444,0.000441,0.000456,0.000015,0.000000
366000,0.000445,0.000442,0.000452,0.000010,0.000000
367000,0.000451,0.000443,0.000551,0.000108,0.000000
368000,0.000448,0.000445,0.000458,0.000013,0.000000
369000,0.000449,0.000445,0.000465,0.000020,0.000000
370000,0.000452,0.000447,0.000467,0.000020,0.000000
371000,0.000451,0.000448,0.000464,0.000016,0.000000
372000,0.000452,0.000449,0.000464,0.000015,0.000000
373000,0.000454,0.000449,0.000489,0.000040,0.000000
374000,0.000457,0.000452,0.000465,0.000013,0.000000
375000,0.000461,0.000452,0.000539,0.000087,0.000000
376000,0.000459,0.000453,0.000466,0.000013,0.000000
377000,0.000459,0.000455,0.000479,0.000024,0.000000
378000,0.000458,0.000455,0.000473,0.000018,0.000000
379000,0.000460,0.000457,0.000471,0.000014,0.000000
380000,0.000461,0.000458,0.000471,0.000013,0.000000
381000,0.000470,0.000460,0.000625,0.000165,0.000000
382000,0.000500,0.000461,0.001371,0.000910,0.000000
383000,0.000482,0.000462,0.000717,0.000255,0.000000
384000,0.000468,0.000463,0.000506,0.000043,0.000000
385000,0.000468,0.000464,0.000498,0.000034,0.000000
386000,0.000848,0.000465,0.005729,0.005264,0.000002
387000,0.000508,0.000467,0.001275,0.000808,0.000000
388000,0.000531,0.000468,0.001946,0.001478,0.000000
389000,0.000484,0.000460,0.000616,0.000156,0.000000
390000,0.000467,0.000461,0.000499,0.000038,0.000000
391000,0.000468,0.000462,0.000492,0.000030,0.000000
