Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
9701,1.000200,0.068601,-1.996257e-04,1.996257e-04
9801,0.999978,0.035193,2.208625e-05,2.208625e-05
9901,0.982495,0.033141,1.750457e-02,1.750457e-02
10001,0.988046,0.033883,1.195399e-02,1.195399e-02
10101,0.975392,0.063540,2.460804e-02,2.460804e-02
10201,1.000382,0.030580,-3.816285e-04,3.816285e-04
10301,1.000000,0.044151,3.965838e-07,3.965838e-07
10401,0.999828,0.055744,1.721831e-04,1.721831e-04
10501,0.985427,0.029149,1.457313e-02,1.457313e-02
10601,0.999047,0.039417,9.533258e-04,9.533258e-04
10701,0.999157,0.024513,8.431002e-04,8.431002e-04
10801,0.981789,0.056963,1.821112e-02,1.821112e-02
10901,0.988761,0.051245,1.123932e-02,1.123932e-02
11001,0.999999,0.063250,5.864564e-07,5.864564e-07
11101,0.979602,0.044626,2.039827e-02,2.039827e-02
11201,0.990924,0.056312,9.076045e-03,9.076045e-03
11301,0.999490,0.063125,5.100603e-04,5.100603e-04
