Partition Size, Serial Trapezoidal Approximation, Time, Error, Abs Error,,Partition Size, Parallel Trapezoidal Approximation, Time, Error, Abs Error
16101,1,0.00661,2.11E-07,2.11E-07,,16101,0.912988,0.097779,8.70E-02,8.70E-02
16201,1,0.006627,2.09E-07,2.09E-07,,16201,0.926769,0.078778,7.32E-02,7.32E-02
16301,1,0.006672,2.08E-07,2.08E-07,,16301,0.99964,0.082945,3.60E-04,3.60E-04
16401,1,0.006741,2.06E-07,2.06E-07,,16401,0.980947,0.067788,1.91E-02,1.91E-02
16501,1,0.006753,2.05E-07,2.05E-07,,16501,0.986049,0.045583,1.40E-02,1.40E-02
16601,1,0.006836,2.03E-07,2.03E-07,,16601,0.991012,0.047094,8.99E-03,8.99E-03
16701,1,0.006837,2.02E-07,2.02E-07,,16701,1,0.096137,2.02E-07,2.02E-07
16801,1,0.006888,2.01E-07,2.01E-07,,16801,0.986432,0.097932,1.36E-02,1.36E-02
16901,1,0.006939,1.99E-07,1.99E-07,,16901,1,0.084419,1.99E-07,1.99E-07
17001,1,0.006961,1.98E-07,1.98E-07,,17001,0.985914,0.0815,1.41E-02,1.41E-02
17101,1,0.007002,1.96E-07,1.96E-07,,17101,0.989377,0.078056,1.06E-02,1.06E-02
17201,1,0.007042,1.95E-07,1.95E-07,,17201,0.99657,0.11637,3.43E-03,3.43E-03
17301,1,0.007076,1.94E-07,1.94E-07,,17301,0.98574,0.083191,1.43E-02,1.43E-02
17401,1,0.007119,1.93E-07,1.93E-07,,17401,0.99907,0.091617,9.30E-04,9.30E-04
17501,1,0.007159,1.91E-07,1.91E-07,,17501,0.978394,0.065378,2.16E-02,2.16E-02
17601,1,0.0072,1.90E-07,1.90E-07,,17601,0.910761,0.083295,8.92E-02,8.92E-02
17701,1,0.007242,1.89E-07,1.89E-07,,17701,0.986348,0.119255,1.37E-02,1.37E-02
17801,1,0.007282,1.88E-07,1.88E-07,,17801,0.985079,0.102041,1.49E-02,1.49E-02
17901,1,0.007346,1.86E-07,1.86E-07,,17901,0.932782,0.112598,6.72E-02,6.72E-02
18001,1,0.007367,1.85E-07,1.85E-07,,18001,0.986265,0.068475,1.37E-02,1.37E-02
18101,1,0.007423,1.84E-07,1.84E-07,,18101,0.99949,0.118243,5.10E-04,5.10E-04
18201,1,0.007449,1.83E-07,1.83E-07,,18201,0.982403,0.104223,1.76E-02,1.76E-02
