Thread,Average,Min,Max,Range,Variance
647,0.242042,0.226846,0.271285,0.044439,0.058647
648,0.241839,0.225668,0.269183,0.043515,0.058585
649,0.241631,0.226584,0.270850,0.044266,0.058477
650,0.242587,0.226799,0.271915,0.045116,0.058923
651,0.241410,0.225961,0.268678,0.042717,0.058354
652,0.243768,0.228855,0.273397,0.044542,0.059511
653,0.242625,0.223243,0.269124,0.045881,0.058977
654,0.242201,0.230091,0.265700,0.035609,0.058727
655,0.244092,0.228720,0.269795,0.041075,0.059664
656,0.242698,0.220534,0.277069,0.056535,0.059017
657,0.241704,0.224709,0.269020,0.044311,0.058516
658,0.240479,0.219793,0.263851,0.044058,0.057912
659,0.241106,0.225172,0.257261,0.032089,0.058200
660,0.241595,0.228258,0.254604,0.026346,0.058410
661,0.243143,0.224756,0.271614,0.046858,0.059202
662,0.242134,0.225242,0.274847,0.049605,0.058718
663,0.243717,0.227065,0.266299,0.039234,0.059482
664,0.243373,0.225160,0.267721,0.042561,0.059309
665,0.242427,0.223424,0.271032,0.047608,0.058874
666,0.245636,0.216716,0.266532,0.049816,0.060424
667,0.244846,0.227909,0.277160,0.049251,0.060040
668,0.246189,0.220437,0.271405,0.050968,0.060739
669,0.245744,0.228575,0.281547,0.052972,0.060464
670,0.245350,0.226668,0.266130,0.039462,0.060282
671,0.246505,0.223490,0.275210,0.051720,0.060904
672,0.244801,0.215806,0.279716,0.063910,0.060033
673,0.253474,0.222206,0.276647,0.054441,0.064409
674,0.251768,0.227392,0.278429,0.051037,0.063513
675,0.244144,0.226411,0.270491,0.044080,0.059691
676,0.246872,0.222999,0.276715,0.053716,0.061089
677,0.247017,0.226441,0.264881,0.038440,0.061095
678,0.245251,0.225270,0.267956,0.042686,0.060222
679,0.246666,0.229276,0.268304,0.039028,0.060910
680,0.246542,0.227579,0.273358,0.045779,0.060879
681,0.247003,0.226924,0.276005,0.049081,0.061116
682,0.244875,0.219062,0.268051,0.048989,0.060082
683,0.245002,0.221081,0.260111,0.039030,0.060083
684,0.247551,0.228159,0.269745,0.041586,0.061386
685,0.244869,0.225200,0.270120,0.044920,0.060066
686,0.244371,0.220546,0.270340,0.049794,0.059848
