Thread,Average,Min,Max,Range,Variance
520,0.405479,0.360614,0.461346,0.100732,0.164953
521,0.406337,0.368396,0.469561,0.101165,0.165632
522,0.402041,0.352805,0.446373,0.093568,0.162176
523,0.406483,0.341901,0.450178,0.108277,0.165799
524,0.408214,0.330740,0.447949,0.117209,0.167157
525,0.405323,0.348645,0.449840,0.101195,0.164809
526,0.415020,0.356347,0.464137,0.107790,0.172884
527,0.436434,0.391168,0.526816,0.135648,0.191300
528,0.416687,0.369328,0.485311,0.115983,0.174297
529,0.409914,0.368791,0.457734,0.088943,0.168592
530,0.411843,0.337332,0.486189,0.148857,0.170415
531,0.405651,0.356533,0.471119,0.114586,0.165140
532,0.408826,0.358920,0.449987,0.091067,0.167549
533,0.402808,0.365783,0.463926,0.098143,0.162661
534,0.407368,0.369954,0.456554,0.086600,0.166425
535,0.404909,0.364436,0.457242,0.092806,0.164347
536,0.406582,0.360589,0.460630,0.100041,0.165662
537,0.411346,0.366940,0.452663,0.085723,0.169615
538,0.402135,0.371233,0.476223,0.104990,0.162114
539,0.407054,0.356363,0.474747,0.118384,0.166130
540,0.401996,0.361613,0.440912,0.079299,0.162066
541,0.411408,0.363044,0.468010,0.104966,0.169815
542,0.405239,0.355699,0.451872,0.096173,0.164735
543,0.403007,0.357814,0.453482,0.095668,0.162801
544,0.406017,0.357024,0.457668,0.100644,0.165257
545,0.408433,0.361346,0.458786,0.097440,0.167307
546,0.408402,0.359322,0.454824,0.095502,0.167242
547,0.417749,0.380394,0.466922,0.086528,0.174946
548,0.411010,0.358338,0.457261,0.098923,0.169472
549,0.413647,0.367537,0.458775,0.091238,0.171595
550,0.412533,0.377490,0.445781,0.068291,0.170515
551,0.408598,0.351367,0.450063,0.098696,0.167469
552,0.409985,0.360199,0.453414,0.093215,0.168390
553,0.415214,0.356952,0.464313,0.107361,0.172995
554,0.415234,0.354427,0.463566,0.109139,0.173000
555,0.415897,0.360286,0.478996,0.118710,0.173675
556,0.417156,0.379615,0.464407,0.084792,0.174453
557,0.420462,0.383566,0.493535,0.109969,0.177382
558,0.412702,0.349879,0.474254,0.124375,0.171184
559,0.410102,0.366624,0.486463,0.119839,0.168819
560,0.409880,0.362911,0.457949,0.095038,0.168777
561,0.404812,0.351466,0.450432,0.098966,0.164340
562,0.408465,0.368658,0.462845,0.094187,0.167280
563,0.412376,0.361107,0.466359,0.105252,0.170643
564,0.408276,0.370235,0.485040,0.114805,0.167232
565,0.411567,0.354663,0.469277,0.114614,0.170007
566,0.414029,0.380627,0.464249,0.083622,0.171801
567,0.415588,0.359632,0.465623,0.105991,0.173403
568,0.414990,0.380068,0.471644,0.091576,0.172625
569,0.411556,0.361364,0.455454,0.094090,0.169832
570,0.406602,0.362451,0.454278,0.091827,0.165735
571,0.414060,0.371832,0.462268,0.090436,0.171963
572,0.413904,0.370841,0.461032,0.090191,0.171783
573,0.411686,0.347902,0.461839,0.113937,0.170017
574,0.417343,0.362386,0.478202,0.115816,0.174746
575,0.418166,0.372745,0.457433,0.084688,0.175227
576,0.416939,0.368568,0.466172,0.097604,0.174471
577,0.415583,0.360614,0.459821,0.099207,0.173291
578,0.422250,0.371170,0.461168,0.089998,0.178826
579,0.417958,0.373694,0.466738,0.093044,0.175266
580,0.418258,0.367670,0.477966,0.110296,0.175538
581,0.413565,0.375619,0.461507,0.085888,0.171369
582,0.414077,0.372771,0.462193,0.089422,0.171839
583,0.414912,0.383210,0.471144,0.087934,0.172538
584,0.421011,0.379547,0.471084,0.091537,0.177816
585,0.419677,0.380978,0.471286,0.090308,0.176624
586,0.419455,0.370604,0.459332,0.088728,0.176460
587,0.411190,0.347714,0.466181,0.118467,0.169924
588,0.411755,0.354726,0.471486,0.116760,0.170113
589,0.413101,0.354775,0.475568,0.120793,0.171311
590,0.417001,0.375495,0.463268,0.087773,0.174351
591,0.424734,0.379066,0.475772,0.096706,0.180812
592,0.428632,0.383388,0.489170,0.105782,0.184314
593,0.417678,0.373801,0.457534,0.083733,0.174860
594,0.425946,0.368793,0.483470,0.114677,0.182167
595,0.425851,0.372570,0.508118,0.135548,0.181961
596,0.417100,0.368899,0.480299,0.111400,0.174507
597,0.419389,0.366882,0.517195,0.150313,0.176631
598,0.422970,0.378909,0.488299,0.109390,0.179298
599,0.415482,0.376203,0.481933,0.105730,0.173102
600,0.418326,0.356705,0.463775,0.107070,0.175650
601,0.411181,0.367186,0.456694,0.089508,0.169467
602,0.417161,0.374729,0.464868,0.090139,0.174440
603,0.425413,0.368597,0.462795,0.094198,0.181384
604,0.426321,0.369469,0.480746,0.111277,0.182403
605,0.419253,0.359148,0.481633,0.122485,0.176526
606,0.423813,0.378192,0.460211,0.082019,0.180171
607,0.417848,0.368236,0.457568,0.089332,0.174992
608,0.411678,0.361426,0.447062,0.085636,0.169829
609,0.422171,0.382731,0.468175,0.085444,0.178695
610,0.418652,0.357315,0.478088,0.120773,0.175746
611,0.423829,0.378253,0.477616,0.099363,0.180203
612,0.421704,0.370144,0.474869,0.104725,0.178275
613,0.431465,0.382678,0.475446,0.092768,0.186567
614,0.434836,0.377969,0.486204,0.108235,0.189658
615,0.424262,0.374123,0.484070,0.109947,0.180555
616,0.424813,0.392504,0.472060,0.079556,0.180901
617,0.419086,0.377075,0.459206,0.082131,0.176015
618,0.427721,0.387352,0.474113,0.086761,0.183333
619,0.430317,0.382112,0.480125,0.098013,0.185792
620,0.428073,0.364721,0.479230,0.114509,0.184020
621,0.420537,0.379177,0.472725,0.093548,0.177410
622,0.423818,0.375583,0.482091,0.106508,0.180250
623,0.419655,0.367545,0.485634,0.118089,0.176834
624,0.424440,0.368986,0.479267,0.110281,0.180923
625,0.423206,0.369438,0.472750,0.103312,0.179626
626,0.421184,0.361792,0.469347,0.107555,0.177947
627,0.420127,0.376409,0.467715,0.091306,0.176926
628,0.420168,0.379517,0.454802,0.075285,0.176872
629,0.418644,0.379066,0.492424,0.113358,0.175803
630,0.423259,0.372921,0.514465,0.141544,0.179854
631,0.435933,0.387132,0.497242,0.110110,0.190633
632,0.420905,0.373804,0.476896,0.103092,0.177762
633,0.421903,0.362354,0.475027,0.112673,0.178634
634,0.435540,0.388756,0.526034,0.137278,0.190566
635,0.453656,0.393658,0.518584,0.124926,0.206505
636,0.435825,0.382673,0.508695,0.126022,0.190644
637,0.429317,0.373634,0.482725,0.109091,0.185020
638,0.431513,0.378416,0.486172,0.107756,0.186606
639,0.422081,0.378344,0.482156,0.103812,0.178548
640,0.442204,0.395263,0.482587,0.087324,0.196051
641,0.423641,0.365697,0.496640,0.130943,0.180041
642,0.438361,0.393779,0.511291,0.117512,0.192886
643,0.423020,0.370678,0.472359,0.101681,0.179388
644,0.429875,0.392865,0.475096,0.082231,0.185238
645,0.422762,0.374406,0.480163,0.105757,0.179340
646,0.424281,0.380442,0.463801,0.083359,0.180457
647,0.422299,0.373749,0.480205,0.106456,0.178924
648,0.421309,0.373477,0.475534,0.102057,0.178070
649,0.419845,0.352601,0.477769,0.125168,0.177102
650,0.423541,0.388034,0.488018,0.099984,0.180035
651,0.432325,0.378455,0.501736,0.123281,0.187659
652,0.428141,0.384853,0.499684,0.114831,0.183981
653,0.433008,0.382540,0.503603,0.121063,0.188115
654,0.435632,0.387151,0.492915,0.105764,0.190364
655,0.428675,0.385430,0.487538,0.102108,0.184413
656,0.429480,0.382410,0.477172,0.094762,0.184948
657,0.439970,0.396739,0.505087,0.108348,0.194228
658,0.470900,0.416916,0.513441,0.096525,0.222203
659,0.457854,0.406533,0.497688,0.091155,0.210274
660,0.427284,0.370609,0.474696,0.104087,0.183093
661,0.434847,0.369466,0.482947,0.113481,0.189727
662,0.429540,0.379310,0.481753,0.102443,0.185036
663,0.428728,0.378812,0.483043,0.104231,0.184351
664,0.355469,0.311664,0.429052,0.117388,0.126718
665,0.352029,0.321413,0.399448,0.078035,0.124154
666,0.344518,0.314007,0.376059,0.062052,0.118953
667,0.348608,0.324983,0.533641,0.208658,0.122346
668,0.344136,0.322766,0.373731,0.050965,0.118575
669,0.347875,0.315538,0.370266,0.054728,0.121198
670,0.350248,0.323749,0.389201,0.065452,0.122917
671,0.348771,0.316294,0.378564,0.062270,0.121824
672,0.352981,0.330033,0.380107,0.050074,0.124720
673,0.352431,0.326636,0.400205,0.073569,0.124426
674,0.345271,0.321501,0.384292,0.062791,0.119426
675,0.346446,0.305994,0.378267,0.072273,0.120228
676,0.347483,0.314805,0.385188,0.070383,0.120925
677,0.342372,0.320685,0.366056,0.045371,0.117338
678,0.347472,0.317505,0.399636,0.082131,0.120990
679,0.348801,0.321714,0.375039,0.053325,0.121814
680,0.348316,0.317703,0.385836,0.068133,0.121541
681,0.347075,0.318989,0.382118,0.063129,0.120689
682,0.347871,0.320762,0.378182,0.057420,0.121179
683,0.346934,0.318489,0.386152,0.067663,0.120575
684,0.353190,0.314046,0.386641,0.072595,0.124959
685,0.349393,0.324478,0.375276,0.050798,0.122200
686,0.346804,0.299693,0.403163,0.103470,0.120640
687,0.347898,0.307933,0.378449,0.070516,0.121311
688,0.353004,0.315908,0.395254,0.079346,0.124848
689,0.350514,0.325341,0.378383,0.053042,0.123035
690,0.350661,0.311968,0.385515,0.073547,0.123247
691,0.346944,0.306662,0.378585,0.071923,0.120552
692,0.353158,0.313588,0.386983,0.073395,0.124972
693,0.350263,0.322787,0.375797,0.053010,0.122856
694,0.348388,0.322940,0.392492,0.069552,0.121566
695,0.354491,0.333184,0.388953,0.055769,0.125817
696,0.354300,0.324569,0.385543,0.060974,0.125770
697,0.353245,0.317569,0.389077,0.071508,0.125043
698,0.351506,0.326134,0.384520,0.058386,0.123762
699,0.357062,0.329671,0.388719,0.059048,0.127699
700,0.353488,0.330319,0.383963,0.053644,0.125104
701,0.357990,0.325291,0.388886,0.063595,0.128348
702,0.351931,0.296694,0.383917,0.087223,0.124099
703,0.353843,0.323628,0.382897,0.059269,0.125397
704,0.354635,0.322745,0.385696,0.062951,0.125989
705,0.357569,0.325390,0.398324,0.072934,0.128168
706,0.351376,0.302592,0.406318,0.103726,0.123738
707,0.352440,0.330083,0.385918,0.055835,0.124371
708,0.354039,0.325715,0.396429,0.070714,0.125543
709,0.359181,0.326273,0.398977,0.072704,0.129231
710,0.360435,0.329972,0.386681,0.056709,0.130084
711,0.354966,0.324518,0.406368,0.081850,0.126213
712,0.355344,0.321926,0.387777,0.065851,0.126495
713,0.353199,0.309687,0.408622,0.098935,0.125056
714,0.354119,0.311223,0.389153,0.077930,0.125640
715,0.359092,0.321110,0.400443,0.079333,0.129226
716,0.356118,0.327625,0.383983,0.056358,0.127008
717,0.355267,0.327543,0.380462,0.052919,0.126421
718,0.358686,0.325998,0.383727,0.057729,0.128830
719,0.360974,0.320987,0.403790,0.082803,0.130659
720,0.356629,0.324771,0.390248,0.065477,0.127375
721,0.356141,0.316701,0.390456,0.073755,0.127102
722,0.354789,0.321071,0.392222,0.071151,0.126075
723,0.359002,0.333401,0.395941,0.062540,0.129104
724,0.352399,0.328743,0.377965,0.049222,0.124341
725,0.359697,0.327811,0.401787,0.073976,0.129597
726,0.355852,0.322829,0.409609,0.086780,0.126821
727,0.356405,0.332325,0.380369,0.048044,0.127160
728,0.358954,0.331458,0.397612,0.066154,0.129067
729,0.355757,0.335331,0.381990,0.046659,0.126707
730,0.354288,0.320973,0.384882,0.063909,0.125745
731,0.358272,0.321952,0.387533,0.065581,0.128598
732,0.351946,0.323727,0.395097,0.071370,0.124102
733,0.353516,0.315885,0.386176,0.070291,0.125210
734,0.354879,0.328206,0.381018,0.052812,0.126108
735,0.357766,0.334317,0.389619,0.055302,0.128166
736,0.352421,0.316532,0.396270,0.079738,0.124421
737,0.356730,0.325392,0.397691,0.072299,0.127446
738,0.354746,0.331708,0.390521,0.058813,0.126072
739,0.360539,0.317784,0.393161,0.075377,0.130224
740,0.353986,0.325137,0.387310,0.062173,0.125515
741,0.358543,0.325348,0.392360,0.067012,0.128749
742,0.359172,0.323694,0.396813,0.073119,0.129290
743,0.360817,0.332714,0.396650,0.063936,0.130402
744,0.358215,0.324159,0.407452,0.083293,0.128563
745,0.359397,0.324410,0.394218,0.069808,0.129332
746,0.358799,0.328220,0.383488,0.055268,0.128929
747,0.357614,0.328494,0.384891,0.056397,0.128086
748,0.363560,0.322849,0.393392,0.070543,0.132361
749,0.358154,0.337780,0.424952,0.087172,0.128496
750,0.356723,0.323059,0.391996,0.068937,0.127546
751,0.358370,0.323826,0.403697,0.079871,0.128694
752,0.360521,0.321262,0.396331,0.075069,0.130250
753,0.357730,0.324858,0.383070,0.058212,0.128129
754,0.362808,0.317419,0.396997,0.079578,0.131898
755,0.369370,0.324828,0.405392,0.080564,0.136695
756,0.355464,0.326231,0.380017,0.053786,0.126565
757,0.356936,0.319776,0.382594,0.062818,0.127628
758,0.361781,0.338316,0.400320,0.062004,0.131061
759,0.361294,0.317713,0.392944,0.075231,0.130764
760,0.357687,0.324247,0.386860,0.062613,0.128130
761,0.363327,0.330357,0.391947,0.061590,0.132210
762,0.364951,0.328432,0.392664,0.064232,0.133410
763,0.358123,0.331538,0.400568,0.069030,0.128511
